matched_name,species,X,Tips,Order,Familly,Genus,Mass,Longevity_Species,SexMatF_Species
Fulica atra,Fulica atra,,Fulica_atra_NC025500,Gruiformes,,Fulica,531,20.6,365
Gallicolumba luzonica,Gallicolumba luzonica,,Gallicolumba_luzonica_HM746790,Columbiformes,,Gallicolumba,196,NA,NA
Gallinula chloropus,Gallinula chloropus,,Gallinula_chloropus_NC015236,Gruiformes,,Gallinula,382,18.6,365
Gallirallus australis,Gallirallus australis,,Gallirallus_australis_KF701060,Gruiformes,Rallidae,Gallirallus,893.5,13.8,NA
Gallirallus okinawae,Gallirallus okinawae,,Gallirallus_okinanawae_NC012140,Gruiformes,Rallidae,Gallirallus,433,NA,NA
Gallirallus philippensis,Gallirallus philippensis,,Gallirallus_philippensis,Gruiformes,Rallidae,Gallirallus,180,NA,NA
Garrulax cineraceus,Garrulax cineraceus,,Garrulax_cineraceus_NC_024553,Passeriformes,,Garrulax,49,NA,NA
Garrulax perspicillatus,Garrulax perspicillatus,,Garrulax_perspicillatus,Passeriformes,,Garrulax,118,NA,NA
Gavia pacifica,Gavia pacifica,,Gavia_pacifica_NC008139,Gaviiformes,,Gavia,1668.5,NA,NA
Gavia stellata,Gavia stellata,,Gavia_stellata_NC007007,Gaviiformes,,Gavia,1486,24,1095
Geococcyx californianus,Geococcyx californianus,,Geococcyx_californianus_NC011711,Cuculiformes,,Geococcyx,376,9,365
Geopelia striata,Geopelia striata,,Geopelia_striata_HM746791,Columbiformes,,Geopelia,56.6,14,NA
Geospiza fortis,Geospiza fortis,,Geospiza_fortis_KM891730,Passeriformes,,Geospiza,24,NA,NA
Grus monacha,Grus monacha,,Grus_monacha_NC020578,Gruiformes,,Grus,3735,24,1040
Grus nigricollis,Grus nigricollis,,Grus_nigricollis_NC020579,Gruiformes,,Grus,6000,NA,NA
Grus paradisea,Grus paradisea,,Grus_paradisea_FJ769844,Gruiformes,,Grus,4654,NA,NA
Grus virgo,Grus virgo,,Grus_virgo_FJ769845,Gruiformes,,Grus,2417,27,730
Gymnomystax mexicanus,Gymnomystax mexicanus,,Gymnomystax_mexicanus_NC018812,Passeriformes,Icteridae,Gymnomystax,98,NA,NA
Haematopus ater,Haematopus ater,,Haematopus_ater_NC003713,Charadriiformes,,Haematopus,724,17,1095
Haemorhous cassinii,Carpodacus cassinii,,Carpodacus_cassini,Passeriformes,,Carpodacus,26.5,7,365
Haemorhous mexicanus,Carpodacus mexicanus,,Carpodacus_mexicanus,Passeriformes,,Carpodacus,21.4,11.6,NA
Halcyon pileata,Halcyon pileata,,Halcyon_pileata_NC024198,Coraciiformes,,Halcyon,84,5.5,NA
Henicorhina leucosticta,Henicorhina leucosticta,,Henicorhina_leucosticta_KJ746107,Passeriformes,,Henicorhina,14.2,NA,NA
Himantopus mexicanus,Himantopus mexicanus,,Himantopus_mexicanus,Charadriiformes,,Himantopus,170,19.1,365
Himatione sanguinea,Himatione sanguinea,,Himatione_sanguinea,Passeriformes,,Himatione,15.2,11,NA
Hirundo rustica,Hirundo rustica,,Hirundo_rustica_KP148840,Passeriformes,,Hirundo,16,16,365
Hyliota flavigaster,Hyliota flavigaster,,Hyliota_flavigaster,Passeriformes,,Hyliota,12.5,NA,NA
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,,Ixobrychus_cinnamomeus_NC015077,Pelecaniformes,,Ixobrychus,126.5,6.9,730
Ixobrychus eurhythmus,Ixobrychus eurhythmus,,Ixobrychus_eurhythmus_NC025924,Pelecaniformes,,Ixobrychus,142.25,6.9,730
Jacana jacana,Jacana jacana,,Jacana_jacana_NC024069,Charadriiformes,,Jacana,108.25,NA,NA
Jacana spinosa,Jacana spinosa,,Jacana_spinosa_NC024068,Charadriiformes,,Jacana,95.45,NA,NA
Larus brunnicephalus,Larus brunnicephalus,,Larus_brunnicephalus_NC018548,Charadriiformes,,Larus,572.5,31.85,1460
Larus crassirostris,Larus crassirostris,,Larus_crassirostris_NC025556,Charadriiformes,,Larus,561,31.85,1460
Larus dominicanus,Larus dominicanus,,Larus_dominicanus_NC007006,Charadriiformes,,Larus,941,31.85,1460
Leiothrix argentauris,Leiothrix argentauris,,Leiothrix_argentauris_NC015114,Passeriformes,,Leiothrix,28.4,NA,NA
Leiothrix lutea,Leiothrix lutea,,Leiothrix_lutea_NC020427,Passeriformes,,Leiothrix,21.4,15,NA
Leptotila verreauxi,Leptotila verreauxi,,leptotila_verreauxi_HM640214,Columbiformes,,Leptotila,161,8.6,NA
Leucosticte arctoa,Leucosticte arctoa,,Leucosticte_arctoa,Passeriformes,,Leucosticte,30.75,6.6,365
Leucosticte brandti,Leucosticte brandti,,Leucosticte_brandti,Passeriformes,,Leucosticte,30.4,6.6,365
Lophophorus lhuysii,Lophophorus lhuysii,,Lophophorus_lhuysii_NC013979,Galliformes,,Lophophorus,3008,NA,NA
Lophophorus sclateri,Lophophorus sclateri,,Lophophorus_sclateri_NC_020589,Galliformes,,Lophophorus,2348.25,NA,NA
Lophura nycthemera,Lophura nycthemera,,Lophura_nycthemera_NC012895,Galliformes,,Lophura,1490,NA,NA
Lophura swinhoii,Lophura swinhoii,,NA,NA,NA,NA,NA,NA,NA
Loxia curvirostra,Loxia curvirostra,,Loxia_curvirostra,Passeriformes,,Loxia,36.4,16.1,365
Loxops caeruleirostris,Loxops caeruleirostris,,Loxops_caeruleirostris,Passeriformes,,Loxops,10.8,NA,NA
Loxops coccineus,Loxops coccineus,,Loxops_coccineus_NC025612,Passeriformes,,Loxops,10.5,10,365
Macroagelaius imthurni,Macroagelaius imthurni,,Macroagelaius_imthurni_NC018810,Passeriformes,Icteridae,Macroagelaius,77.95,NA,NA
Malurus melanocephalus,Malurus melanocephalus,,Malurus_melanocephalus,Passeriformes,,Malurus,7.9,10.4,365
Melopsittacus undulatus,Melopsittacus undulatus,,Melopsittacus_undulatus_NC009134,Psittaciformes,,Melopsittacus,29,21,180
Mionectes oleagineus,Mionectes oleagineus,,NA,NA,NA,NA,NA,NA,NA
Montifringilla adamsi,Montifringilla adamsi,,Montifringilla_adamsi,Passeriformes,,Montifringilla,NA,NA,NA
Montifringilla nivalis,Montifringilla nivalis,,Montifringilla_nivalis,Passeriformes,,Montifringilla,36.9,NA,NA
Morus serrator,Morus serrator,,Morus_serrator_GU071056,Suliformes,,Morus,2350,33,730
Ninox novaeseelandiae,Ninox novaeseelandiae,,NA,NA,NA,NA,NA,NA,NA
Nisaetus alboniger,Spizaetus alboniger,,Spizaetus_alboniger_NC007599,Accipitriformes,,Spizaetus,830,NA,NA
Nisaetus nipalensis,Spizaetus nipalensis,,Spizaetus_nipalensis_NC_007598,Accipitriformes,,Spizaetus,3012.5,NA,NA
Notiomystis cincta,Notiomystis cincta,,NA,NA,NA,NA,NA,NA,NA
Numida meleagris,Numida meleagris,,Numida_meleagris_NC006382,Galliformes,,Numida,1299,NA,NA
Nyctibius grandis,Nyctibius grandis,,Nyctibius_grandis_EU344977,Caprimulgiformes,,Nyctibius,547,NA,NA
Nyctibius griseus,Nyctibius griseus,,Nyctibius_griseus_HM746792,Caprimulgiformes,,Nyctibius,185,NA,NA
Oedistoma iliolophus,Oedistoma iliolophus,,NA,NA,NA,NA,NA,NA,NA
Oreomystis bairdi,Oreomystis bairdi,,Oreomystis_bairdi,Passeriformes,,Oreomystis,NA,NA,NA
Oreopsar bolivianus,Oreopsar bolivianus,,Oreopsar_bolivianus_NC018797,Passeriformes,Icteridae,Oreopsar,72.95,NA,NA
Oriolus chinensis,Oriolus chinensis,,Oriolus_chinensis_NC020424,Passeriformes,,Oriolus,82.6,15.15,365
Paroreomyza montana,Paroreomyza montana,,Paroreomyza_montana,Passeriformes,,Paroreomyza,13.15,NA,608
Parus major,Parus major,,Parus_major_NC_026293,Passeriformes,,Parus,18.25,15.4,365
Parus venustulus,Parus venustulus,,Parus_venustulus_NC_026701,Passeriformes,,Parus,NA,NA,NA
Passer domesticus,Passer domesticus,,Passer_domesticus,Passeriformes,,Passer,27.7,23,152
Passer montanus,Passer montanus,,Passer_montanus_JX486030,Passeriformes,,Passer,22,13.1,319
Pavo cristatus,Pavo cristatus,,Pavo_cristatus_NC024533,Galliformes,,Pavo,4194,23.2,730
Pavo muticus,Pavo muticus,,Pavo_muticus_NC012897,Galliformes,,Pavo,2767.5,NA,NA
Pedionomus torquatus,Pedionomus torquatus,,Pedionomus_torquatus,Charadriiformes,,Pedionomus,63.2,NA,NA
Pelecanus conspicillatus,Pelecanus conspicillatus,,Pelecanus_conspicillatus_DQ780883,Pelecaniformes,,Pelecanus,5505,47,730
Perdix dauurica,Perdix dauurica,,Perdix_dauurica_NC020588,Galliformes,,Perdix,263.5,5.2,365
Perdix hodgsoniae,Perdix hodgsoniae,,Perdix_hodgsoniae_NC023940,Galliformes,,Perdix,372,5.2,365
Periparus ater,Periparus ater,,Periparus_ater,Passeriformes,,Periparus,9.2,9.5,365
Petroica boodang,Petroica boodang,,Petroica_boodang_NC019666,Passeriformes,,Petroica,NA,NA,NA
Petroica phoenicea,Petroica phoenicea,,Petroica_phoenicea_NC019668,Passeriformes,,Petroica,13,NA,NA
Phaethon rubricauda,Phaethon rubricauda,,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax chalconotus,Phalacrocorax chalconotus,,Phalacrocorax_chalconotus_NC014679,Suliformes,,Phalacrocorax,2265.5,20.25,730
Phasianus colchicus,Phasianus colchicus,,Phasianus_colchicus_NC015526,Galliformes,,Phasianus,1135,27,240
Phasianus versicolor,Phasianus versicolor,,Phasianus_versicolor_NC010778,Galliformes,,Phasianus,925,NA,NA
Phodilus badius,Phodilus badius,,Phodilus_badius_NC_023787,Strigiformes,,Phodilus,281.5,NA,NA
Phoebastria immutabilis,Phoebastria immutabilis,,Phoebastria_immutabilis_NC026189,Procellariformes,,Phoebastria,3150,62,3141
Phoebastria nigripes,Phoebastria nigripes,,Phoebastria_nigripes_NC026188,Procellariformes,,Phoebastria,3195,42.1,1825
Phoenicurus auroreus,Phoenicurus auroreus,,Phoenicurus_auroreus,Passeriformes,,Phoenicurus,16.2,10.2,365
Pica pica,Pica pica,,Pica_pica_NC015200,Passeriformes,,Pica,206,21.7,730
Pinicola enucleator,Pinicola enucleator,,Pinicola_enucleator,Passeriformes,,Pinicola,56.4,9.8,365
Pitta nympha,Pitta nympha,,NA,NA,NA,NA,NA,NA,NA
Platalea leucorodia,Platalea leucorodia,,Platalea_leucorodia_NC012772,Pelecaniformes,,Platalea,1868,30.1,1095
Platalea minor,Platalea minor,,Platalea_minor_NC010962,Pelecaniformes,,Platalea,1228,15,NA
Pluvianellus socialis,Pluvianellus socialis,,Pluvianellus_socialis,Charadriiformes,,Pluvianellus,84.25,NA,NA
