species,matched_name,order,longevity_maxrecorded,clutchsize_min,clutchsize_max,clutchsize_mean.usual,X.maxsuccesful._clutches_per_year,firstbreeding_minmonths,firstbreeding_maxmonths,firstbreeding_meanmonths
Quiscalus quiscula,Quiscalus quiscula,Passeriformes,NA,4,7,NA,1,NA,NA,NA
Rallina eurizonoides,Rallina eurizonoides,Gruiformes,NA,4,8,NA,NA,NA,NA,NA
Regulus regulus,Regulus regulus,Passeriformes,NA,6,13,NA,2,NA,NA,NA
Aceros corrugatus,Rhabdotorrhinus corrugatus,Bucerotiformes,NA,2,4,NA,1,NA,NA,NA
Aceros waldeni,Rhabdotorrhinus waldeni,Bucerotiformes,NA,2,3,NA,NA,NA,NA,NA
Rhea americana,Rhea americana,Rheiformes,NA,NA,NA,NA,NA,24,36,NA
Pterocnemia pennata,Rhea pennata,Rheiformes,NA,NA,NA,NA,NA,36,NA,NA
Rhynchopsitta terrisi,Rhynchopsitta terrisi,Psittaciformes,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchortyx cinctus,Rhynchortyx cinctus,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA
Rhynochetos jubatus,Rhynochetos jubatus,Eurypygiformes,31,NA,NA,1,NA,NA,NA,24
Rynchops niger,Rynchops niger,Charadriiformes,20,2,4,NA,NA,12,36,NA
Sagittarius serpentarius,Sagittarius serpentarius,Accipitriformes,NA,1,4,2,1,NA,NA,NA
Sasia ochracea,Sasia ochracea,Piciformes,NA,2,4,NA,NA,NA,NA,NA
Saxicola rubicola,Saxicola rubicola,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scolopax rusticola,Scolopax rusticola,Charadriiformes,NA,2,6,4,2,NA,NA,NA
Scytalopus magellanicus,Scytalopus magellanicus,Passeriformes,NA,2,4,NA,NA,NA,NA,NA
Smithornis sharpei,Smithornis sharpei,Passeriformes,NA,1,2,2,NA,NA,NA,NA
Spheniscus demersus,Spheniscus demersus,Sphenisciformes,27,1,2,2,2,24,96,48
Spilornis cheela,Spilornis cheela,Accipitriformes,NA,NA,NA,1,2,NA,NA,NA
Carduelis pinus,Spinus pinus,Passeriformes,9,1,6,NA,2,NA,NA,12
Carduelis spinus,Spinus spinus,Passeriformes,NA,3,5,NA,2,NA,NA,12
Stercorarius maccormicki,Stercorarius maccormicki,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catharacta skua,Stercorarius skua,Charadriiformes,NA,1,2,2,NA,60,144,NA
Sula dactylatra,Sula dactylatra,Suliformes,23,NA,NA,2,NA,24,36,NA
Sylvia atricapilla,Sylvia atricapilla,Passeriformes,15,2,7,NA,2,NA,NA,NA
Sylvia crassirostris,Sylvia crassirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synthliboramphus antiquus,Synthliboramphus antiquus,Charadriiformes,NA,NA,NA,2,NA,24,48,NA
Syrmaticus ellioti,Syrmaticus ellioti,Galliformes,NA,5,8,NA,NA,NA,NA,NA
Syrmaticus humiae,Syrmaticus humiae,Galliformes,NA,3,12,NA,NA,NA,NA,NA
Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,Podicipediformes,NA,4,5,NA,3,NA,NA,NA
Tachycineta albilinea,Tachycineta albilinea,Passeriformes,NA,3,5,NA,2,NA,NA,NA
Tachycineta albiventer,Tachycineta albiventer,Passeriformes,NA,3,6,NA,NA,NA,NA,NA
Tachycineta cyaneoviridis,Tachycineta cyaneoviridis,Passeriformes,NA,2,4,3,1,NA,NA,NA
Tachycineta euchrysea,Tachycineta euchrysea,Passeriformes,NA,NA,NA,3,NA,NA,NA,NA
Tachycineta meyeni,Tachycineta leucopyga,Passeriformes,NA,3,6,NA,3,NA,NA,NA
Tachycineta leucorrhoa,Tachycineta leucorrhoa,Passeriformes,NA,4,7,NA,NA,NA,NA,NA
Taeniopygia guttata,Taeniopygia guttata,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Luscinia cyanura,Tarsiger cyanurus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetraophasis obscurus,Tetraophasis obscurus,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA
Tetraophasis szechenyii,Tetraophasis szechenyii,Galliformes,NA,NA,NA,NA,1,NA,NA,NA
Bonasa bonasia,Tetrastes bonasia,Galliformes,7,5,14,NA,1,NA,NA,12
Tetrastes sewerzowi,Tetrastes sewerzowi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diomedea chrysostoma,Thalassarche chrysostoma,Procellariiformes,44,NA,NA,1,NA,96,168,NA
Diomedea melanohprys,Thalassarche melanophris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna eurygnatha,Thalasseus acuflavidus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,Passeriformes,NA,NA,NA,2,NA,NA,NA,NA
Thraupis episcopus,Thraupis episcopus,Passeriformes,NA,1,3,2,NA,NA,NA,NA
Tragopan caboti,Tragopan caboti,Galliformes,NA,2,6,NA,NA,NA,NA,NA
Tragopan temminckii,Tragopan temminckii,Galliformes,NA,3,5,NA,NA,NA,NA,NA
Tregellasia leucops,Tregellasia leucops,Passeriformes,9,NA,NA,2,NA,NA,NA,NA
Turdus hortulorum,Turdus hortulorum,Passeriformes,NA,3,5,NA,2,NA,NA,NA
Turdus naumanni,Turdus naumanni,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Turtur tympanistria,Turtur tympanistria,Columbiformes,7,1,2,2,NA,NA,NA,NA
Tyto alba,Tyto alba,Strigiformes,NA,2,16,NA,2,NA,NA,12
Urocissa erythrorhyncha,Urocissa erythrorhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanellus cinereus,Vanellus cinereus,Charadriiformes,NA,NA,NA,4,NA,NA,NA,NA
Vanellus vanellus,Vanellus vanellus,Charadriiformes,18,2,4,4,NA,NA,NA,12
Vidua chalybeata,Vidua chalybeata,Passeriformes,10,1,4,3,8,NA,NA,12
Vireo olivaceus,Vireo olivaceus,Passeriformes,NA,1,5,NA,2,NA,NA,NA
Zenaida auriculata,Zenaida auriculata,Columbiformes,NA,1,3,2,NA,NA,NA,NA
Acanthisitta chloris,Acanthisitta chloris,Passeriformes,6,2,5,NA,2,NA,NA,9
Acrocephalus scirpaceus,Acrocephalus scirpaceus,Passeriformes,NA,3,5,4,NA,NA,NA,NA
Aegithalos glaucogularis,Aegithalos glaucogularis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles cristatus,Aegotheles cristatus,Caprimulgiformes,NA,2,5,NA,1,NA,NA,NA
Agelaius phoeniceus,Agelaius phoeniceus,Passeriformes,NA,2,5,NA,NA,NA,NA,NA
Alectoris chukar,Alectoris chukar,Galliformes,NA,6,19,NA,2,NA,NA,NA
Alectura lathami,Alectura lathami,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA
Anas acuta,Anas acuta,Anseriformes,15,2,14,NA,1,NA,24,12
Anas crecca,Anas crecca,Anseriformes,25,5,16,NA,1,NA,NA,12
Anas falcata,Anas falcata,Anseriformes,NA,6,10,NA,NA,NA,NA,12
Anas formosa,Anas formosa,Anseriformes,NA,4,10,NA,NA,NA,NA,2
Anomalopteryx didiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anser albifrons,Anser albifrons,Anseriformes,46,3,6,NA,NA,NA,NA,36
Anser anser,Anser anser,Anseriformes,26,3,12,NA,NA,24,NA,36
Anseranas semipalmata,Anseranas semipalmata,Anseriformes,26,1,16,NA,NA,36,48,24
Anthropoides virgo,NA,Gruiformes,NA,NA,NA,2,NA,NA,NA,24
Apus apus,Apus apus,Apodiformes,NA,NA,NA,NA,NA,NA,NA,NA
Aquila chrysaetos,Aquila chrysaetos,Accipitriformes,50,1,3,2,NA,NA,NA,NA
Aratinga pertinax,NA,Psittaciformes,NA,2,7,NA,NA,NA,NA,NA
Arborophila rufipectus,Arborophila rufipectus,Galliformes,NA,3,7,NA,NA,NA,NA,NA
Aythya fuligula,Aythya fuligula,Anseriformes,17,8,14,NA,1,12,NA,24
Bonasa sewerzowi,NA,Galliformes,NA,5,8,NA,NA,NA,NA,12
Botaurus stellaris,Botaurus stellaris,Pelecaniformes,9,1,7,NA,1,NA,NA,12
Branta canadensis,Branta canadensis,Anseriformes,24,1,8,NA,NA,4,108,36
Bubulcus ibis,Bubulcus ibis,Pelecaniformes,NA,1,9,NA,NA,10,12,NA
Bucorvus leadbeateri,Bucorvus leadbeateri,Bucerotiformes,NA,1,3,2,NA,NA,NA,NA
Burhinus grallarius,Burhinus grallarius,Charadriiformes,NA,NA,NA,2,NA,NA,NA,NA
Bycanistes brevis,Bycanistes brevis,Bucerotiformes,NA,1,2,NA,NA,NA,NA,NA
Calyptorhynchus lathami,Calyptorhynchus lathami,Psittaciformes,NA,1,2,NA,NA,NA,NA,NA
