Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Eudyptes_chrysocome_NC008138,Eudyptes chrysocome,Eudyptes chrysocome,2470,NA,NA,2,1,2
Eudyptula_minor_NC004538,Eudyptula minor,Eudyptula minor,1157.296,25,726.936,2,1.5,3
Eulabeornis_castaneoventris_NC025501,Eulabeornis castaneoventris,Eulabeornis castaneoventris,653.4,NA,NA,4.5,NA,NA
Euphagus_cyanocephalus_NC018827,Euphagus cyanocephalus,Euphagus cyanocephalus,62.65,12.5,365,5,1.5,7.5
Eurystomus_orientalis_NC_011716,Eurystomus orientalis,Eurystomus orientalis,148.3833,NA,NA,3.5,NA,NA
Falco_cherrug_NC026715,Falco cherrug,Falco cherrug,995,25,726.936,4,1,4
Falco_columbarius_NC025579,Falco columbarius,Falco columbarius,187.575,16,545.202,4.5,1,4.5
Falco_peregrinus_NC008878,Falco peregrinus,Falco peregrinus,827.25,25,726.936,3.5,1,3.5
Falco_sparverius_NC008547,Falco sparverius,Falco sparverius,115.5,17,365,4.6,1.25,5.75
Falco_tinnunculus_NC011307,Falco tinnunculus,Falco tinnunculus,204.75,23.834,365,4.5,1,4.5
Ficedula_albicollis_NC021621,Ficedula albicollis,Ficedula albicollis,12.55,9.833333,364.234,6,1,6
Ficedula_zanthopygia_NC015802,Ficedula zanthopygia,Ficedula zanthopygia,13.1,NA,NA,5.7,NA,NA
Forpus_modestus_HM755882,Forpus modestus,Forpus modestus,27.2,NA,NA,NA,NA,NA
Francolinus_pintedianus_NC011817,Francolinus pintadeanus,Francolinus pintadeanus,354.25,NA,NA,5,NA,NA
Fratercula_arctica,Fratercula arctica,Fratercula arctica,437.9167,40.83333,1460,1,1,1
Fregatta_sp_AP009192,Fregatta sp,NA,NA,NA,NA,NA,NA,NA
Fringilla_coelebs_frin690,Fringilla coelebs,Fringilla coelebs,22.625,29,364.234,4.5,1,4.5
Fringilla_coelebs_Lerner,Fringilla coelebs,Fringilla coelebs,22.625,29,364.234,4.5,1,4.5
Fringilla_montifringilla_AHNU_A0112,Fringilla montifringilla,Fringilla montifringilla,22.925,14.8,364.234,5.9,1,5.9
Fringilla_morel4007,Fringilla morel4007,NA,NA,NA,NA,NA,NA,NA
Fringilla_palma3934,Fringilla palma3934,NA,NA,NA,NA,NA,NA,NA
Fringilla_spodio368,Fringilla spodio368,NA,NA,NA,NA,NA,NA,NA
Fulica_atra_NC025500,Fulica atra,Fulica atra,775,32.3,365,7.6,1.5,11.4
Gallicolumba_luzonica_HM746790,Gallicolumba luzonica,Gallicolumba luzonica,196,NA,NA,2,NA,NA
Gallinula_chloropus_NC015236,Gallinula chloropus,Gallinula chloropus,377,18.6,364.234,7,2,14
Gallirallus_australis_KF701060,Gallirallus australis,Gallirallus australis,893.5,13.8,363.468,2.890196,1.5,4.335294
Gallirallus_okinanawae_NC012140,Gallirallus okinawae,Gallirallus okinawae,433.75,NA,NA,2.5,NA,NA
Gallirallus_philippensis,Gallirallus philippensis,Gallirallus philippensis,208.75,NA,365,5.7,2,11.4
Gallus_bankiva_NC007237,Gallus bankiva,Gallus gallus,912.5,30,NA,6,1,6
Gallus_gallus_NC001323,Gallus gallus,Gallus gallus,912.5,30,197.7083333,6,1,6
Gallus_lafayetii_NC007239,Gallus lafayetii,Gallus lafayettii,766.5,NA,NA,2.5,1,2.5
Gallus_sonneratii_NC007240,Gallus sonneratii,Gallus sonneratii,855.5,NA,NA,4.5,1,4.5
Gallus_varius_NC007238,Gallus varius,Gallus varius,781.25,NA,NA,3.5,1,3.5
Garrulax_canorus_NC020429,Garrulax canorus,Garrulax canorus,65.95,NA,NA,3.2,NA,NA
Garrulax_cineraceus_NC_024553,Garrulax cineraceus,Garrulax cineraceus,49,NA,NA,2.4,NA,NA
Garrulax_perspicillatus,Garrulax perspicillatus,Garrulax perspicillatus,118,NA,NA,3.2,NA,NA
Garrulus_glandarius_NC015810,Garrulus glandarius,Garrulus glandarius,160.85,17.91667,364.234,5,1,5
Gavia_pacifica_NC008139,Gavia pacifica,Gavia pacifica,2665,28,1001.835,1.95,1.5,2.925
Gavia_stellata_NC007007,Gavia stellata,Gavia stellata,1603,24,1001.835,2,1,2
Geococcyx_californianus_NC011711,Geococcyx californianus,Geococcyx californianus,376,9,365,4,1.5,6
