species,Tips,matched_name
Eudyptes chrysocome,Eudyptes_chrysocome_NC008138,Eudyptes chrysocome
Eudyptula minor,Eudyptula_minor_NC004538,Eudyptula minor
Eulabeornis castaneoventris,Eulabeornis_castaneoventris_NC025501,Eulabeornis castaneoventris
Euphagus cyanocephalus,Euphagus_cyanocephalus_NC018827,Euphagus cyanocephalus
Falco cherrug,Falco_cherrug_NC026715,Falco cherrug
Falco columbarius,Falco_columbarius_NC025579,Falco columbarius
Falco peregrinus,Falco_peregrinus_NC008878,Falco peregrinus
Falco sparverius,Falco_sparverius_NC008547,Falco sparverius
Falco tinnunculus,Falco_tinnunculus_NC011307,Falco tinnunculus
Ficedula albicollis,Ficedula_albicollis_NC021621,Ficedula albicollis
Ficedula zanthopygia,Ficedula_zanthopygia_NC015802,Ficedula zanthopygia
Forpus modestus,Forpus_modestus_HM755882,Forpus modestus
Francolinus pintadeanus,Francolinus_pintedianus_NC011817,Francolinus pintadeanus
Fratercula arctica,Fratercula_arctica,Fratercula arctica
Fringilla coelebs,Fringilla_coelebs_Lerner,Fringilla coelebs
Fringilla coelebs,Fringilla_coelebs_frin690,Fringilla coelebs
Fringilla montifringilla,Fringilla_montifringilla_AHNU_A0112,Fringilla montifringilla
Fringilla morel4007,Fringilla_morel4007,NA
Fringilla palma3934,Fringilla_palma3934,NA
Fringilla spodio368,Fringilla_spodio368,NA
Fulica atra,Fulica_atra_NC025500,Fulica atra
Gallicolumba luzonica,Gallicolumba_luzonica_HM746790,Gallicolumba luzonica
Gallinula chloropus,Gallinula_chloropus_NC015236,Gallinula chloropus
Gallirallus australis,Gallirallus_australis_KF701060,Gallirallus australis
Gallirallus okinawae,Gallirallus_okinanawae_NC012140,Gallirallus okinawae
Gallirallus philippensis,Gallirallus_philippensis,Gallirallus philippensis
Gallus bankiva,Gallus_bankiva_NC007237,Gallus gallus
Gallus gallus,Gallus_gallus_NC001323,Gallus gallus
Gallus lafayetii,Gallus_lafayetii_NC007239,Gallus lafayettii
Gallus sonneratii,Gallus_sonneratii_NC007240,Gallus sonneratii
Gallus varius,Gallus_varius_NC007238,Gallus varius
Garrulax canorus,Garrulax_canorus_NC020429,Garrulax canorus
Garrulax cineraceus,Garrulax_cineraceus_NC_024553,Garrulax cineraceus
Garrulax perspicillatus,Garrulax_perspicillatus,Garrulax perspicillatus
Garrulus glandarius,Garrulus_glandarius_NC015810,Garrulus glandarius
Gavia pacifica,Gavia_pacifica_NC008139,Gavia pacifica
Gavia stellata,Gavia_stellata_NC007007,Gavia stellata
Geococcyx californianus,Geococcyx_californianus_NC011711,Geococcyx californianus
Geopelia striata,Geopelia_striata_HM746791,Geopelia striata
Geospiza fortis,Geospiza_fortis_KM891730,Geospiza fortis
Geotrygon violacea,Geotrygon_violacea_HM640213,Geotrygon violacea
Gnorimopsar chopi,Gnorimopsar_chopi_NC018795,Gnorimopsar chopi
Gracula religiosa,Gracula_religiosa_NC015898,Gracula religiosa
Grus americana,Grus_americana_NC020576,Grus americana
Grus antigone,Grus_antigone_NC021581,Grus antigone
Grus canadensis,Grus_canadensis_NC021582,Grus canadensis
Grus carunculatus,Grus_carunculatus_NC020571,Grus carunculata
Grus grus,Grus_grus_NC020577,Grus grus
Grus japonensis,Grus_japonensis_NC020575,Grus japonensis
Grus leucogeranus,Grus_leucogeranus_NC020574,Grus leucogeranus
Grus monacha,Grus_monacha_NC020578,Grus monacha
Grus nigricollis,Grus_nigricollis_NC020579,Grus nigricollis
Grus paradisea,Grus_paradisea_FJ769844,Grus paradisea
Grus rubicunda,Grus_rubicunda_NC020580,Grus rubicunda
Grus vipio,Grus_vipio_NC021368,Grus vipio
Grus virgo,Grus_virgo_FJ769845,Grus virgo
